path,type,parent_directory,size
D:\PycharmProjects\.idea,directory,D:\PycharmProjects,3047
D:\PycharmProjects\homeworks,directory,D:\PycharmProjects,1669693
D:\PycharmProjects\rename_files,directory,D:\PycharmProjects,138
D:\PycharmProjects\seminar_files,directory,D:\PycharmProjects,5689
D:\PycharmProjects\source,directory,D:\PycharmProjects,41909
D:\PycharmProjects\venv,directory,D:\PycharmProjects,460
D:\PycharmProjects\__pycache__,directory,D:\PycharmProjects,9227
D:\PycharmProjects\.idea\discord.xml,file,D:\PycharmProjects\.idea,228
D:\PycharmProjects\.idea\misc.xml,file,D:\PycharmProjects\.idea,207
D:\PycharmProjects\.idea\workspace.xml,file,D:\PycharmProjects\.idea,2612
D:\PycharmProjects\.idea\codeStyles,directory,D:\PycharmProjects\.idea,153
D:\PycharmProjects\.idea\inspectionProfiles,directory,D:\PycharmProjects\.idea,174
D:\PycharmProjects\.idea\codeStyles\codeStyleConfig.xml,file,D:\PycharmProjects\.idea\codeStyles,153
D:\PycharmProjects\.idea\inspectionProfiles\profiles_settings.xml,file,D:\PycharmProjects\.idea\inspectionProfiles,174
D:\PycharmProjects\homeworks\chess.py,file,D:\PycharmProjects\homeworks,1042
D:\PycharmProjects\homeworks\functions.py,file,D:\PycharmProjects\homeworks,2939
D:\PycharmProjects\homeworks\homework.py,file,D:\PycharmProjects\homeworks,3042
D:\PycharmProjects\homeworks\homework_7.py,file,D:\PycharmProjects\homeworks,3628
D:\PycharmProjects\homeworks\homework_collections.py,file,D:\PycharmProjects\homeworks,4971
D:\PycharmProjects\homeworks\iterators.py,file,D:\PycharmProjects\homeworks,2898
D:\PycharmProjects\homeworks\result.csv,file,D:\PycharmProjects\homeworks,492630
D:\PycharmProjects\homeworks\result.json,file,D:\PycharmProjects\homeworks,803014
D:\PycharmProjects\homeworks\result.pkl,file,D:\PycharmProjects\homeworks,350324
D:\PycharmProjects\homeworks\serialization.py,file,D:\PycharmProjects\homeworks,3552
D:\PycharmProjects\homeworks\simple_data_types.py,file,D:\PycharmProjects\homeworks,1586
D:\PycharmProjects\homeworks\__init__.py,file,D:\PycharmProjects\homeworks,67
D:\PycharmProjects\rename_files\result_name01.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name02.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name03.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name04.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name05.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name06.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name07.ipynb,file,D:\PycharmProjects\rename_files,0
D:\PycharmProjects\rename_files\result_name08.ipynb,file,D:\PycharmProjects\rename_files,69
D:\PycharmProjects\rename_files\__init__.py,file,D:\PycharmProjects\rename_files,69
D:\PycharmProjects\seminar_files\name_and_product.py,file,D:\PycharmProjects\seminar_files,1996
D:\PycharmProjects\seminar_files\name_filling.py,file,D:\PycharmProjects\seminar_files,898
D:\PycharmProjects\seminar_files\number_filling.py,file,D:\PycharmProjects\seminar_files,748
D:\PycharmProjects\seminar_files\specified_extensions.py,file,D:\PycharmProjects\seminar_files,1980
D:\PycharmProjects\seminar_files\__init__.py,file,D:\PycharmProjects\seminar_files,67
D:\PycharmProjects\seminar_files\__pycache__,directory,D:\PycharmProjects\seminar_files,7539
D:\PycharmProjects\seminar_files\__pycache__\name_and_product.cpython-311.pyc,file,D:\PycharmProjects\seminar_files\__pycache__,2877
D:\PycharmProjects\seminar_files\__pycache__\name_filling.cpython-311.pyc,file,D:\PycharmProjects\seminar_files\__pycache__,1243
